kp_phi,kd_phi,ki_phi,kp_chi,ki_chi,kp_theta,kd_theta,ki_theta,kp_h,kd_h,ki_h,kp_v,ki_v,Y
0.7448979592,0.2204081633,0.1469387755,0.2653061224,0.0428571429,-0.704081633,-0.457142857,0.3265306122,0.0169387755,0.306122449,0.003122449,0.287755102,0.587755102,
0.693877551,0.2693877551,0.3918367347,0.9510204082,0.0489795918,-2.336734694,-0.440816327,0.4591836735,0.0124489796,0.6530612245,0.0036530612,0.206122449,0.5102040816,
0.6020408163,0.2448979592,0.2367346939,0.5265306122,0.0469387755,-3,-0.412244898,0.306122449,0.0146938776,0.4081632653,0.0032857143,0.2857142857,0.5755102041,
0.9183673469,0.0428571429,0.4,0.3306122449,0.0265306122,-1.418367347,-0.426530612,0.3775510204,0.0144897959,0.4693877551,0.0040204082,0.2959183673,0.5551020408,
0.9489795918,0.293877551,0.3346938776,0.8530612245,0.0142857143,-1.469387755,-0.436734694,0.1326530612,0.0118367347,0.2857142857,0.0045918367,0.2591836735,0.5346938776,
0.9897959184,0.1224489796,0.1387755102,0.3795918367,0.0102040816,-1.112244898,-0.471428571,0.4183673469,0.0132653061,1,0.0032040816,0.2530612245,0.4816326531,
0.6530612245,0.287755102,0.2530612245,0.8204081633,0.0836734694,-0.857142857,-0.483673469,0.1836734694,0.0120408163,0.5102040816,0.0045510204,0.2346938776,0.4204081633,
0.5306122449,0.1285714286,0.2857142857,0.3632653061,0.0897959184,-0.602040816,-0.418367347,0.0918367347,0.0134693878,0.4285714286,0.0033265306,0.2653061224,0.4163265306,
1,0.1775510204,0.1632653061,0.9836734694,0.0510204082,-0.908163265,-0.491836735,0.0612244898,0.016122449,0.8367346939,0.0034081633,0.2489795918,0.4979591837,
0.612244898,0.2081632653,0.1795918367,0.9346938776,0.0918367347,-2.744897959,-0.432653061,0.3979591837,0.02,0.0204081633,0.0041428571,0.2102040816,0.5020408163,
0.8265306122,0.2326530612,0.2775510204,0.2489795918,0.0734693878,-2.948979592,-0.489795918,0.2857142857,0.0155102041,0.2448979592,0.0036938776,0.2714285714,0.4653061224,
0.9285714286,0.1530612245,0.3836734694,0.6244897959,0.0693877551,-1.928571429,-0.451020408,0.1428571429,0.0183673469,0.1836734694,0.0047959184,0.2571428571,0.4040816327,
0.5,0.0857142857,0.3265306122,0.3142857143,0.0530612245,-2.132653061,-0.459183673,0.0714285714,0.0159183673,0.9183673469,0.0043061224,0.2816326531,0.5387755102,
0.6836734694,0.0551020408,0.2448979592,1,0.0020408163,-1.163265306,-0.43877551,0.3571428571,0.0140816327,0.8163265306,0.0042244898,0.2081632653,0.4326530612,
0.7653061224,0.2571428571,0.3673469388,0.4775510204,0.0816326531,-1.520408163,-0.465306122,0.1734693878,0.0108163265,0.1020408163,0.0034489796,0.2183673469,0.5795918367,
0.9591836735,0.0183673469,0.1142857143,0.5755102041,0.0959183673,-1.571428571,-0.481632653,0.1632653061,0.0104081633,0.7346938776,0.0042653061,0.2448979592,0.5714285714,
0.8775510204,0.2387755102,0.3102040816,0.4448979592,0.0857142857,-1.826530612,-0.430612245,0.4285714286,0.0193877551,0.9591836735,0.0037346939,0.2510204082,0.4571428571,
0.9693877551,0.0979591837,0.0571428571,0.2326530612,0.0755102041,-2.540816327,-0.404081633,0.3673469388,0.0136734694,0.2653061224,0.0033673469,0.2326530612,0.506122449,
0.8163265306,0.1102040816,0.1551020408,0.493877551,0.0040816327,-2.489795918,-0.485714286,0.0510204082,0.0126530612,0.5306122449,0.0035306122,0.2795918367,0.5918367347,
