kp_phi,kd_phi,ki_phi,kp_chi,ki_chi,kp_theta,kd_theta,ki_theta,kp_h,kd_h,ki_h,kp_v,ki_v,Y
6.3976595319,0.1172234447,0.8541708342,0.700060012,0.2452490498,-0.224764953,-0.442288458,0.1100220044,1.3689117824,0.7681536307,0.4588333667,0.7094758952,0.9291018204,
4.526185237,0.0300060012,0.3334666933,3.375575115,0.5653130626,-4.656891378,-0.524704941,0.8797759552,2.1482876575,0.424284857,0.3503202641,0.669669934,0.8986037207,
0.125745149,0.6281256251,0.7725545109,7.2769553911,0.2778555711,-5.694618924,-0.764552911,0.7767553511,8.7849729946,0.1688337668,0.6153080616,0.9552430486,0.8077035407,
8.750370074,0.4900980196,0.4876975395,5.1163432687,0.9777955591,-7.94434887,-0.623924785,0.3708741748,5.1099159832,0.1898379676,0.2144290858,0.2676495299,0.1193178636,
7.0373274655,0.5561112222,0.5339067814,6.2115023005,0.4910982196,-0.557471494,-0.764752951,0.9633926785,2.56994999,0.1722344469,0.5825343069,0.3062672535,0.2183376675,
9.7920584117,0.2924584917,0.4912982597,7.5839167834,0.325865173,-6.429345869,-0.806961392,0.8181636327,3.7330186037,0.7797559512,0.7731816363,0.6704620924,0.5033166633,
4.1301060212,0.8609721944,0.5155031006,5.3262652531,0.5091018204,-9.847509502,-0.335267053,0.1266253251,0.4136767353,0.6959391878,0.4814152831,0.3195359072,0.0206941388,
7.6710542108,0.8769753951,0.8051610322,7.4235047009,0.1804360872,-5.288637728,-0.332066413,0.8625725145,7.390090018,0.9655931186,0.1978423685,0.8803840768,0.4997519504,
2.0704940988,0.4298859772,0.9387877576,2.1833766753,0.3262652531,-4.664812963,-0.809561912,0.5369073815,9.1406881376,0.7267453491,0.4730220044,0.6902660532,0.2236847369,
3.6092618524,0.0816163233,0.774154831,3.2983396679,0.0788157632,-2.628965793,-0.826565313,0.7637527506,2.7338187638,0.7135427085,0.4812154431,0.6138227646,0.5756011202,
4.8450290058,0.0866173235,0.451090218,7.6195639128,0.3396679336,-3.66075215,-0.938987798,0.2712542509,9.9660272054,0.2524504901,0.1262996599,0.9970294059,0.9730666133,
4.5440088018,0.8879775955,0.3852770554,0.5634126825,0.5029005801,-4.345969194,-0.678335667,0.849169834,0.2358191638,0.3980796159,0.0841334267,0.6690758152,0.4785617123,
9.174174835,0.7553510702,0.6979395879,2.8230446089,0.7717543509,-6.623424685,-0.104020804,0.8443688738,0.4376575315,0.9779955991,0.0183860772,0.0880276055,0.6261012202,
4.6430286057,0.3600720144,0.3614722945,9.4870774155,0.6139227846,-1.615003001,-0.784956991,0.1418283657,2.713834767,0.4066813363,0.8944844969,0.4496479296,0.9219723945,
9.5266853371,0.1854370874,0.1448289658,3.6171834367,0.9835967193,-6.474894979,-0.75415083,0.3160632126,6.7226245249,0.4836967393,0.5723424685,0.124664933,0.7019503901,
9.1405081016,0.4850970194,0.1620324065,2.9458291658,0.9867973595,-4.692538508,-0.087417483,0.9083816763,4.6662712543,0.9721944389,0.3189453891,0.9673234647,0.6409541908,
1.4902380476,0.6919383877,0.1834366873,0.401020204,0.9297859572,-8.833546709,-0.282656531,0.1902380476,9.944044809,0.1788357672,0.6894486897,0.1712042408,0.0642628526,
2.5378675735,0.875775155,0.5295059012,8.6810562112,0.2094418884,-2.878495699,-0.314862973,0.1600320064,6.4068773755,0.6091218244,0.8802958592,0.5649069814,0.6562032406,
0.8842368474,0.1770354071,0.3712742549,3.5934186837,0.8307661532,-6.530346069,-0.285057011,0.5173034607,6.8924884977,0.7379475895,0.3039573915,0.6171894379,0.0682236447,
3.4547909582,0.2124424885,0.5719143829,1.4367673535,0.5897179436,-2.490338068,-0.538307662,0.3770754151,9.9680256051,0.3776755351,0.3725025005,0.3745909182,0.1331806361,
4.5578715743,0.9275855171,0.7981596319,4.2568513703,0.9093818764,-5.821364273,-0.765753151,0.698939788,8.9208641728,0.1396279256,0.4400484097,0.6645209042,0.6130306061,
