Kp_phi,Kd_phi,Ki_phi,Kp_chi,Ki_chi,Kp_theta,Kd_theta,Ki_theta,Kp_h,Kd_h,Ki_h,Kp_V,Ki_V,Y
0.9099099099,0.2154154154,0.2197197197,1.0055055055,0.0282582583,-1.612612613,-0.223223223,0.6335335335,0.012972973,0.0038848849,0.0020520521,0.2004004004,0.5393393393,
0.8606606607,0.0172172172,0.2377377377,1.1851851852,0.0311311311,-1.309309309,-0.446246246,0.6295295295,0.0193993994,0.0057267267,0.0025085085,0.2463463463,0.5130630631,
0.6584584585,0.233033033,0.3894894895,1.3968968969,0.0563213213,-1.700700701,-0.206406406,0.4525525526,0.0171871872,0.0058028028,0.003045045,0.2957957958,0.5039039039,
0.9043043043,0.1049049049,0.4279279279,1.017017017,0.0423423423,-1.326326326,-0.55955956,0.4861861862,0.015985986,0.0053863864,0.0032932933,0.2007007007,0.5677177177,
0.7333333333,0.0656656657,0.2465465465,1.2282282282,0.0379279279,-1.329329329,-0.227627628,0.3816816817,0.0112812813,0.0038448448,0.0057277277,0.2661661662,0.5942942943,
0.6424424424,0.3271271271,0.4239239239,1.3368368368,0.0502952953,-1.518518519,-0.274074074,0.5638638639,0.012962963,0.0065075075,0.005019019,0.2903903904,0.5960960961,
0.6528528529,0.1313313313,0.1064064064,1.0535535536,0.0442692693,-1.751751752,-0.222822823,0.6475475475,0.0158758759,0.0048538539,0.0035775776,0.2658658659,0.5921921922,
0.8670670671,0.397997998,0.1744744745,1.3588588589,0.0361061061,-1.055055055,-0.390590591,0.3804804805,0.0152952953,0.0057027027,0.0037617618,0.2118118118,0.5858858859,
0.618018018,0.2034034034,0.4931931932,1.2477477477,0.0398548549,-1.525525526,-0.359359359,0.4713713714,0.011981982,0.0033923924,0.004034034,0.2740740741,0.4635135135,
0.837037037,0.3191191191,0.3434434434,1.45995996,0.0544294294,-1.981981982,-0.347747748,0.655955956,0.0118318318,0.0034004004,0.0053113113,0.270970971,0.5307807808,
0.7237237237,0.1005005005,0.1788788789,1.3358358358,0.0418868869,-1.063063063,-0.437437437,0.3036036036,0.0158358358,0.0063353353,0.0020880881,0.2427427427,0.4728228228,
0.8794794795,0.0680680681,0.1396396396,1.1181181181,0.0550600601,-1.244244244,-0.433433433,0.4665665666,0.0141241241,0.0061311311,0.002028028,0.2597597598,0.4593093093,
0.9459459459,0.3059059059,0.3638638639,1.3938938939,0.0557257257,-1.845845846,-0.491491491,0.4897897898,0.0181881882,0.0063953954,0.0041861862,0.2213213213,0.4726726727,
0.6804804805,0.2786786787,0.3566566567,1.463963964,0.0523273273,-1.846846847,-0.311311311,0.5726726727,0.0105005005,0.0062152152,0.0031011011,0.257957958,0.5046546547,
0.7885885886,0.3543543544,0.4443443443,1.2672672673,0.0467917918,-1.006006006,-0.236836837,0.4457457457,0.0165465465,0.0058148148,0.0045745746,0.2008008008,0.5845345345,
0.612012012,0.2198198198,0.2925925926,1.0840840841,0.03001001,-1.84984985,-0.524724725,0.5950950951,0.0111511512,0.0052422422,0.0027207207,0.2894894895,0.4918918919,
