kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
2.8397679536,1.7639527906,2.6675335067,0.2044408882,0.8515703141,1.12185003931674,31.948404905011,57.994254409426
1.8459691938,0.6581316263,1.4948989798,0.6829365873,2.7683536707,1.34089713832822,39.2785138438857,61.4022752929854
2.1178235647,1.1798359672,1.9947989598,1.9943988798,1.5207041408,1.2536079746346,100,772.064773713095
1.8471694339,1.9219843969,2.5217043409,0.8149629926,1.8333666733,5.24682202938123,100,5255.54533451664
0.6049209842,0.9465893179,1.9575915183,1.8383676735,0.7213442689,1.44177433040726,100,1065.74178322931
0.924184837,0.4652930586,1.5375075015,1.3602720544,2.9039807962,1.36405710729367,100,1731.67004392316
1.3640728146,1.9659931986,1.9281856371,1.1378275655,0.099619924,1.53173737884859,100,1632.11305088683
2.0584116823,0.1416283257,1.8807761552,1.8971794359,0.6295259052,2.60314713865385,100,2141.17166923829
1.8615723145,1.774754951,2.5091018204,0.3900780156,2.775555111,1.17595781134313,16.4900332380885,62.7126398159911
2.199439888,0.8365673135,1.5585117023,1.4594918984,2.8811762352,1.27775229238303,100,4627.70133470123
2.900380076,0.6449289858,1.4288857772,0.5189037808,0.951190238,1.4926757214567,100,9386.32837729586
1.6551310262,0.5725145029,0.9319863973,0.9013802761,2.9111822364,1.41432065788039,100,65.9863132096579
2.3038607722,0.6141228246,1.8525705141,0.5065013003,0.0132026405,2.59000285131792,100,70.0605886090491
0.6655331066,1.4994999,2.7797559512,1.8067613523,2.5043008602,5.65315579539411,100,3199.6579027453
2.8019603921,1.4526905381,1.9221844369,0.2640528106,2.4622924585,1.08631805806156,9.33996405266616,44.6189502439246
2.6843368674,1.7655531106,2.824764953,0.8085617123,0.7675535107,1.26144557660877,100,8204.26967350479
2.9117823565,1.4102820564,0.7363472695,0.3296659332,2.7107421484,1.10204606528211,8.29090199860305,37.8558655878143
2.6681336267,0.024804961,1.3214642929,1.1366273255,0.5683136627,3.23294545926645,33.740769946963,51.4887387811168
1.1642328466,0.0152030406,0.3792758552,0.024804961,1.4582916583,2.25913335224844,100,55.6981774264957
1.8663732747,0.7417483497,0.5293058612,1.5783156631,2.5907181436,1.28688028279708,100,1634.92866336432
2.1892378476,1.6711342268,2.2438487698,1.2366473295,2.6771354271,5.44368765028504,100,22001.4518871416
0.8599719944,1.3278655731,0.951190238,1.3098619724,2.6627325465,1.27520506490609,100,10996.133080789
2.5127025405,1.4522904581,2.2612522505,0.6637327465,2.6945389078,1.25329751567473,100,5845.11088981408
