phi_gains_1,phi_gains_2,phi_gains_3,chi_gains_1,chi_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,h_gains_1,h_gains_2,h_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
0.7857142857,0.1591836735,0.0897959184,0.4285714286,0.0530612245,-0.704081633,-0.408163265,0.4795918367,0.0175510204,0.2551020408,0.0033673469,0.2408163265,0.5183673469,0.0341844605,100,3952.9261601,100,100,0,100,100
0.8673469388,0.1653061224,0.3346938776,0.706122449,0.0693877551,-2.43877551,-0.416326531,0.0612244898,0.0183673469,-0.43877551,0.0044693878,0.2244897959,0.5959183673,5.0793587392,39.812763295,21.889453535,3.5017214503,100,6.8741124569,1.1584878421,18.659522403
0.9081632653,0.2571428571,0.0653061224,0.5428571429,0.0795918367,-0.959183673,-0.420408163,0.0102040816,0.0191836735,0.3367346939,0.0042653061,0.2163265306,0.5387755102,5.33277375,46.810979809,28.94662346,6.2682243006,100,0,13.5541508,12.934362149
0.6224489796,0.2081632653,0.3102040816,0.5265306122,0.093877551,-2.183673469,-0.418367347,0.1326530612,0.016122449,0.2346938776,0.0032857143,0.2020408163,0.5306122449,5.6450529171,100,8736.5492705,5.5533502546,100,0,100,100
0.693877551,0.2020408163,0.0816326531,0.8040816327,0.0653061224,-1.520408163,-0.479591837,0.0510204082,0.01,-0.091836735,0.003122449,0.287755102,0.5469387755,5.7395505904,30.945981219,10.805859755,4.1058738821,100,5.7895128189,1.0615962811,17.812781108
0.6020408163,0.2142857143,0.1551020408,0.4448979592,0.0285714286,-2.285714286,-0.43877551,0.1428571429,0.0189795918,0.2142857143,0.0047959184,0.2714285714,0.5428571429,5.8593652641,100,13717.353347,3.6419744832,100,0,100,100
0.8367346939,0.0857142857,0.0081632653,0.493877551,0.0551020408,-2.234693878,-0.493877551,0.0204081633,0.0187755102,-0.051020408,0.0036122449,0.2489795918,0.4530612245,5.8693101393,100,33.968165663,2.8827317158,100,5.9800934216,0.5302779714,43.720924634
0.7040816327,0.0367346939,0.3265306122,0.4612244898,0.0632653061,-1.673469388,-0.428571429,0.0408163265,0.0144897959,0.1530612245,0.0034489796,0.2979591837,0.5836734694,6.4090241814,45.986170003,34.933289519,3.6152043309,100,0.2747167141,0.9216440284,18.251751538
0.7551020408,0.2816326531,0.2612244898,0.6244897959,0.0857142857,-1.724489796,-0.426530612,0.1632653061,0.0110204082,-0.397959184,0.0048367347,0.2367346939,0.4653061224,6.4678435308,100,44623.068429,100,100,0,100,100
0.5408163265,0.2326530612,0.1795918367,0.5102040816,0.012244898,-1.775510204,-0.444897959,0.0918367347,0.0142857143,-0.479591837,0.0033265306,0.2142857143,0.5714285714,6.4764413818,100,6183.099833,100,100,0,100,100
0.5204081633,0.0795918367,0.0163265306,0.3469387755,0.087755102,-1.928571429,-0.481632653,0.306122449,0.0153061224,0.0102040816,0.0040204082,0.206122449,0.6,6.5330687679,100,19.398223468,100,100,0,100,100
0.6836734694,0.0918367347,0.0979591837,0.2163265306,0.0755102041,-2.030612245,-0.412244898,0.2244897959,0.0114285714,0.3775510204,0.0036938776,0.2081632653,0.4204081633,6.6111634739,100,2221.0755206,100,100,0,100,100
0.7755102041,0.2448979592,0.3755102041,0.2,0.0897959184,-2.948979592,-0.46122449,0.3367346939,0.0128571429,-0.234693878,0.003244898,0.2632653061,0.4489795918,6.6238688327,100,11.708239291,100,100,0,100,100
0.9591836735,0.0734693878,0.1142857143,0.2816326531,0.0448979592,-2.846938776,-0.446938776,0.3775510204,0.0193877551,0.0306122449,0.0043877551,0.2224489796,0.4857142857,6.7792331411,100,7.0695540331,100,100,0,100,49.916703504
0.5612244898,0.012244898,0.0326530612,0.2653061224,0.0489795918,-1.826530612,-0.469387755,0,0.0106122449,0.5,0.0037346939,0.3,0.4816326531,6.8420930626,100,37.608746791,11.595886282,100,1.467149233,13.180058958,49.896164791
0.5306122449,0.0489795918,0.3020408163,0.7387755102,0.0428571429,-1.214285714,-0.465306122,0.0816326531,0.013877551,0.193877551,0.0039795918,0.2040816327,0.4734693878,7.0778483852,100,16620.854057,100,100,0,100,100
0.7959183673,0.006122449,0,0.9346938776,0.0959183673,-2.081632653,-0.402040816,0.0714285714,0.0132653061,0.1734693878,0.0045510204,0.2612244898,0.5551020408,7.2391392852,26.152856332,14.626128289,3.0379013516,100,0.8342074445,7.6868942555,16.790153855
0.8775510204,0.0183673469,0.2285714286,0.6081632653,0.0346938776,-3,-0.453061224,0.1020408163,0.0108163265,0.0714285714,0.0034081633,0.2204081633,0.4979591837,7.4092205249,42.023490806,21.045052715,2.6518232199,100,2.3227291025,0.3080676917,23.833219836
0.8163265306,0.1469387755,0.0408163265,0.7551020408,0.0979591837,-2.540816327,-0.487755102,0.3673469388,0.02,-0.336734694,0.0046326531,0.2469387755,0.5632653061,7.4958883541,100,0,100,100,0,100,100
0.9183673469,0.0306122449,0.4,0.6408163265,0.0612244898,-1.316326531,-0.489795918,0.1530612245,0.0118367347,-0.37755102,0.0042244898,0.2551020408,0.4571428571,7.6348912635,100,35097.466741,100,100,0,100,100
0.5,0.1530612245,0.3918367347,0.6571428571,0.0408163265,-2.387755102,-0.475510204,0.2755102041,0.0157142857,-0.459183673,0.004755102,0.2530612245,0.5795918367,7.8658452073,100,0,100,100,0,100,100
0.9897959184,0.287755102,0.187755102,0.412244898,0.0183673469,-1.112244898,-0.430612245,0.112244898,0.0120408163,0.3163265306,0.0035714286,0.2795918367,0.4326530612,8.255514972,100,44225.466861,100,100,0,100,100
0.9795918367,0.2204081633,0.106122449,0.5755102041,0.006122449,-2.336734694,-0.47755102,0.1734693878,0.0136734694,0.0918367347,0.0049183673,0.2,0.4,12.697495966,100,14323.858499,3.164482791,100,0.8759087597,100,100
