phi_gains_1,phi_gains_2,phi_gains_3,chi_gains_1,chi_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,h_gains_1,h_gains_2,h_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
0.6708071759,0.1500531205,0.0213392845,0.6882932671,0.0522276293,-0.980102739,-0.474558479,0.2615214696,0.0194795451,0.0441157953,0.0039999955,0.2069124915,0.4282165977,6.66659559687372,43.7558715431729,32.9712565128039,2.61315959134912,49.6578658847115,5.79229921357496,12.8825864060774,49.4954141711443
0.5465938772,0.11168512,0.3777005118,0.8837481196,0.0501950998,-1.817160619,-0.480245473,0.0279668254,0.0121355492,0.0374384359,0.0030848095,0.2535755402,0.5020362826,7.06309242949923,24.8307133945282,13.3701211593989,2.89511155984283,18.8022488182053,5.62392215204803,1.97796817738229,11.1551946691608
0.5804646925,0.2241752205,0.3475297325,0.2480437402,0.0874976519,-1.773114233,-0.458352944,0.3138694103,0.0168736847,0.0350807432,0.0047045215,0.2147188904,0.5474077317,6.58264790755296,49.4690635901229,36.3523849160994,2.16784415614991,15.0828096445536,5.85532398279782,23.5197796869718,17.1538801704027
0.898221659,0.0889574518,0.1093424668,0.954796454,0.0706696036,-0.770306076,-0.429358251,0.3216514178,0.0129111665,0.0291709007,0.0047374682,0.2499997757,0.4177372928,7.19715301006773,30.3669668406591,19.5891155105941,2.2764870377354,100,11.3068653226417,11.0347192045688,100
0.7522456699,0.1189110118,0.3837462976,0.6665608679,0.0058946116,-1.300894861,-0.427853099,0.4031714075,0.0184534617,0.0471869818,0.0044041008,0.2551671846,0.4572209349,15.5675347621907,35.8841415374171,0,2.02713781507227,5.7884381055285,5.68077758521928,1.26512385558838,12.7661851654366
0.8177063855,0.2390715832,0.1741970238,0.4700327717,0.0910046704,-0.646067062,-0.412727943,0.2735790071,0.0189449627,0.0204861765,0.0034387241,0.245305376,0.5700038136,5.47755337511544,39.9874730995672,38.5530917507276,2.32683507053278,100,7.77781038259449,22.0987990482244,100
0.9183061203,0.249882331,0.2489561279,0.5133375658,0.0238099652,-2.007202375,-0.407277301,0.0541996221,0.0150758318,0.0220686951,0.0036292414,0.2089622176,0.4322168603,7.10838673960172,45.3706727845197,35.8400017044146,2.73546720681765,32.8900503179122,4.85396507656113,1.58166883121402,24.8609618886189
0.9450281697,0.1257587216,0.1767623484,0.8223861883,0.0130439058,-1.241249667,-0.460376359,0.1574289991,0.0112028409,0.0320163747,0.0032577456,0.2931306104,0.4471731825,15.6248252387621,29.8743916220977,0,2.87353769001492,18.5057049837895,7.67066826903866,0.533366168547837,12.0216670121743
0.9741285538,0.0648051264,0.3249477647,0.7266652462,0.0069745394,-2.401023814,-0.475694974,0.1365130535,0.0158113333,0.020951562,0.0041258501,0.2397202033,0.5453155037,16.9239606763602,34.0987871111522,0,2.43520709308792,25.6126953713619,6.32102357089346,0.758613363633535,9.41862261127056
0.6223949906,0.075884021,0.0955629537,0.8562993805,0.0648584815,-1.208203933,-0.40567788,0.1760251979,0.0161305054,0.0418410208,0.0040966153,0.2106158715,0.5635315856,6.79699493130878,31.8330716421333,27.7271767064222,2.81968645056351,14.956808396505,4.49966262762596,0.675564458360101,19.1695458999822
0.7077554538,0.1571069609,0.3115497105,0.5031324071,0.056630659,-2.602538062,-0.472359166,0.4803284338,0.0191289238,0.0267754671,0.0044679102,0.2716241158,0.5889718857,6.29731627240095,45.0974080724901,34.1528045834409,2.11117592444356,9.85884984120582,5.49578385275729,11.1645214430162,11.4489790793388
0.6068472717,0.0587488401,0.1539383109,0.6365349658,0.0620939825,-1.747013241,-0.442683248,0.2397154867,0.0103456231,0.0166473396,0.0033280194,0.2236906935,0.4209705321,6.83820685931815,42.981399126707,36.3605797655154,2.63454287812026,48.967762718034,8.29558892453504,0.594289413224002,42.5537841948861
0.8405568099,0.1046504797,0.2698482683,0.2589544605,0.0795940581,-1.145703803,-0.469258954,0.2206650242,0.0125904897,0.048264399,0.0031910635,0.2220404238,0.5149711619,5.7786910207614,100,42.4310700704989,2.55216672450363,10.6213679246969,6.11624435307516,33.7245814453521,18.5175956718474
0.810936605,0.0109975761,0.2420455367,0.6588093976,0.071822465,-2.87955728,-0.454073547,0.1158969072,0.0172591724,0.0326962977,0.0039391735,0.2900059161,0.5776910109,6.1525153043738,39.332340819995,29.9496815975834,2.46413703695334,9.5250093662475,4.57842906073151,0.326312518172135,7.78575816722467
0.9674597675,0.1798447446,0.1494803436,0.3454102521,0.0116641379,-0.806763219,-0.449185331,0.4745103696,0.016743564,0.0366191169,0.00420953,0.2334018573,0.476541011,11.2649374983712,100,31.8254223734903,2.18069575411174,48.9913839131885,8.11981174913958,0.629021798131816,47.8394622501525
0.792601791,0.0544519866,0.0150393776,0.4853019331,0.0037598444,-1.101364331,-0.435487387,0.2881005078,0.0146762661,0.0189244024,0.0040521075,0.2872772127,0.4504917039,12.5225748953961,100,8.38462299808387,2.66365054015951,29.9967612121602,7.96101714993918,0.384990476964298,23.1726933438203
0.5296851152,0.1635964424,0.0293733245,0.6066715692,0.0958842078,-2.2653972,-0.4154062,0.4558759611,0.0152871034,0.0394982307,0.0037406195,0.2472132729,0.445014712,6.35147155990537,100,31.5154621368261,2.22167943965384,9.75277472462668,5.09487361435099,21.2441059857509,15.1797044100092
0.6264503625,0.1312392226,0.1002087865,0.2751405614,0.0156143936,-2.699296679,-0.491768577,0.1696230452,0.018526113,0.0227690223,0.0031466507,0.2498372755,0.497855321,7.73532176919854,100,50.5527178611498,2.3126902523514,11.0098477016965,5.00409881898625,17.3976813790675,8.15352106758879
0.8823244465,0.1373868099,0.2867749873,0.9058304132,0.0939164632,-1.719263725,-0.404218156,0.4652498173,0.0144944815,0.0143894331,0.0038287821,0.2780590296,0.5060672039,6.40494321527904,33.5365079831785,27.444527260439,2.25679194917674,31.4942214719416,6.93523314812323,10.5390580171158,25.7947248599113
0.8934874705,0.1478767197,0.0682668155,0.2879659015,0.0483985325,-1.908370023,-0.431083663,0.0188789803,0.0178277176,0.0429478737,0.0036798185,0.2662674947,0.5509907606,6.30787062861385,100,44.4029277148486,2.89922163244241,7.27683575460875,3.56267748068875,27.4539552906208,9.32306797589019
0.6863493198,0.1870667346,0.1432754077,0.3163517665,0.0667541979,-1.489912298,-0.487111329,0.4190217114,0.0123246515,0.0198302901,0.003562496,0.2911569018,0.5560266985,5.88630025093107,100,50.0662779952115,2.09124170501575,48.9458596691496,8.16147174958817,36.6729438393247,100
0.7631362135,0.2355385235,0.2181243998,0.3767932407,0.0465120816,-1.59863852,-0.494903259,0.3555750476,0.0139549568,0.0454541339,0.0049278694,0.2604781244,0.4254607206,6.0708401488252,47.8493142842237,37.3353861778936,2.11440595856615,20.8064208485058,5.57696984337541,13.13528952049,33.2080519856334
0.7274168447,0.0179058467,0.2964251122,0.8397189156,0.0859297274,-0.680627387,-0.495866887,0.2016653815,0.0155664674,0.0259321991,0.0038761981,0.2678696217,0.4399681821,6.90669449894635,29.2677357464159,12.1079839320241,2.87595016326701,100,8.66534142834954,0.957685789078965,100
0.9524117673,0.1943201422,0.0856610897,0.7784563244,0.0584166007,-1.344557412,-0.492772923,0.4070798415,0.0154360507,0.0181175362,0.0046203223,0.2179025897,0.5191491067,6.67511347394924,39.5753950827317,33.2678584900244,2.25565769718505,100,8.99842185595139,12.0044805648637,100
0.805182427,0.267680492,0.0589075948,0.7126303616,0.0389342004,-1.873015205,-0.477547798,0.1109580493,0.0133322764,0.0115875094,0.0042886044,0.2564943656,0.4079367848,6.86604855121038,36.7595796569727,20.902203864174,2.65043535268664,100,8.73095941175841,0.953039384929328,49.3997563359946
0.8614389298,0.2179628622,0.2261363796,0.9386457996,0.0251606842,-2.172177394,-0.483240664,0.2972672503,0.0180775498,0.0461727045,0.0033895265,0.2852634336,0.5390588471,7.30894655631629,35.5280036024977,13.0420877994267,2.2886812521093,10.0518636535885,3.90927312001252,2.42108773622729,100
0.7851069948,0.0338585536,0.1611962019,0.528919299,0.0931729756,-2.116613401,-0.485406021,0.0442231345,0.0142963777,0.0448079372,0.0045526407,0.2129635605,0.4800823742,5.90646624304213,100,36.8221988535716,2.77418095517832,13.4059935908916,4.26230714091982,19.1220727516442,15.8076284847246
0.5957950149,0.1013561002,0.1863970158,0.7635077803,0.0786304667,-1.985336443,-0.437565421,0.3944884986,0.0196207194,0.0236772065,0.0045892883,0.2962068025,0.4886195508,6.21152779738542,37.8028227355789,29.8475186550062,2.29692448374824,13.5758368484627,4.9723941495361,11.0789950634726,15.8000762065062
0.9267425438,0.0728285166,0.3038282601,0.5667154554,0.0421484703,-2.731560998,-0.488286477,0.4351792027,0.0162976791,0.0409029717,0.0035804843,0.2433409939,0.4147546582,6.37513188106513,100,40.4109409530079,2.18045254507782,9.99657781361834,4.19240236403631,0.374823423514973,49.9087830048009
0.8505035,0.2438469667,0.2829274271,0.2951876539,0.0500002128,-2.899036731,-0.439809954,0.3332137146,0.0107313718,0.0155357312,0.0039850859,0.2322469912,0.4534428945,6.68852733742775,100,50.177402533533,2.21669622834555,100,8.21186967021035,26.1272521992054,100
0.5715276631,0.1969850028,0.1952598514,0.789444125,0.0546803855,-2.813018877,-0.411404098,0.1322010976,0.0127525625,0.0477924028,0.0042359701,0.2738773798,0.4369886322,6.35655235628698,34.8281193879312,24.3542580633775,2.4379759366218,44.8794518620677,5.03925828926373,10.640277114299,100
0.5196639156,0.0261391576,0.2072817625,0.4183325859,0.0336607579,-2.315171471,-0.445176485,0.3073001898,0.0188051996,0.0300002702,0.0034677236,0.2039327831,0.4604106007,6.55548137121758,100,44.2668070944069,2.28591035872121,9.62083753740362,3.87567408713081,0.99488707690815,7.81311414435907
0.9104253617,0.0830613431,0.3645098525,0.4071839362,0.0360787097,-2.210777261,-0.409466887,0.2499976581,0.0134647828,0.0381223125,0.0046648752,0.2815898257,0.5674772264,6.82034811163601,100,43.1529489342855,2.32564922893296,10.2160839048614,4.86937414979953,0.80337827653917,18.0849237898288
0.750001064,0.0359877206,0.1182307336,0.748149507,0.0297845311,-1.656250061,-0.418421545,0.3621884151,0.0169953701,0.0128349969,0.0032054077,0.2637392476,0.5912900919,7.52397348156682,41.753507990315,21.2391803156983,2.40234843296998,32.3701084051078,5.3512609294784,0.380425875393396,24.4966402681079
0.5896553837,0.142619444,0.2303937203,0.4521023999,0.0136199017,-1.416485893,-0.416406047,0.0360763354,0.0105571292,0.0250611202,0.0045201599,0.2420531489,0.5581598989,8.93692548161783,44.0099837054046,28.0303168490655,3.17119896709008,49.2360552284111,8.45391120330929,1.84482991749159,48.1427257314369
0.6982920085,0.2778891758,0.1236702473,0.9645083798,0.0885925877,-2.558458624,-0.461970418,0.062682549,0.0175956098,0.0282077341,0.0035240959,0.2370949025,0.4685489782,6.18557113316107,25.4146318567416,25.6169510525981,2.5942147683846,10.7704991986117,4.42968651205393,11.4153666210033,11.965623034734
0.5640115777,0.0421618916,0.0791888582,0.3372958319,0.0376378986,-0.610558851,-0.456210132,0.3810192313,0.0136728168,0.0435523879,0.003794733,0.2758261921,0.5228228933,6.56963451981097,100,53.8628341469563,1.94111239190934,100,6.9064058703165,0.602498953878579,100
0.7371256193,0.2560583365,0.0642384248,0.5833797132,0.008607237,-2.062815214,-0.470657609,0.4273220431,0.0109140715,0.0388559611,0.0038920874,0.220315547,0.5809648721,10.5256034043835,100,7.84178588294684,2.16073928153476,21.2533541358909,7.39620319667222,3.27962473265323,14.2535289192065
0.6569832398,0.2839904617,0.3177123292,0.6995694384,0.043853192,-0.860439997,-0.420693456,0.4477708902,0.0131832598,0.029906745,0.0031179316,0.2356038474,0.5324361213,6.26080421649611,39.0969372408597,19.99311282667,1.81108731797086,30.1412021736408,3.38226758929621,3.46200664294518,38.5227033130357
0.9364102327,0.2722645867,0.2053220594,0.6301681997,0.0840763054,-0.960933058,-0.446489648,0.0830032882,0.0115915316,0.0406811878,0.0043675881,0.2701266301,0.5860792107,4.92165368127005,43.7826626915401,24.0541788410851,3.28933759636693,100,7.42201786894732,11.6780593210536,100
0.6418899516,0.2092673624,0.3401328477,0.3923794838,0.0740400867,-1.37468873,-0.424345055,0.0950783846,0.0164648378,0.033567312,0.0033534605,0.2837612845,0.4117483663,6.22921564403469,100,41.3909722310062,2.63238520291532,10.9847802060535,4.48432395430096,12.5878578094254,14.1804295775915
0.8334676653,0.2273474405,0.0443266679,0.8713732387,0.0321808206,-1.550216088,-0.439034261,0.1016174519,0.019258324,0.0312002239,0.0048925131,0.2256158086,0.5272960243,7.72842541551854,26.217927537445,11.5462958655161,2.79843216127356,11.3131238334491,4.72450231453241,0.870330570119815,23.5140829296885
0.8711334436,0.0481834457,0.3570700626,0.3585785461,0.0603161313,-0.91670345,-0.451699666,0.0724092772,0.018229758,0.0123824789,0.0043283575,0.2283392274,0.4927939976,5.35252041384268,100,38.1290517305958,3.54787287128966,100,7.26974152021727,0.360832664593285,49.3869924507861
0.7192068019,0.2883776034,0.1295956562,0.2309930575,0.0214276219,-2.499487352,-0.425922,0.2065206271,0.0149999488,0.0358886946,0.0044390944,0.2945687763,0.4863597216,6.84627235206204,100,60.5455656918512,2.29240355265888,8.38519255052833,4.74507321096675,39.9549231168392,7.98204775905029
0.7735455147,0.2048376817,0.3721619655,0.9244563271,0.075923916,-2.348514752,-0.450321403,0.3757805474,0.0114474282,0.023265367,0.0041669484,0.2053224143,0.4737754433,6.82237916446903,26.5542098257592,24.2099898422034,2.06550438468283,100,8.0458743083039,2.08568721974088,44.852586489829
0.6796674269,0.0218715414,0.2547495867,0.8931815248,0.018365816,-2.646642842,-0.423157664,0.3440566814,0.0118470068,0.0342923563,0.0048462925,0.2293334349,0.510433624,13.0850612427403,18.984761064083,0.916538915695853,2.23515650800221,17.5785453089569,5.66999420528103,1.03656048986906,6.95819837254652
0.5536084439,0.260239558,0.2660013967,0.5958261333,0.0282340913,-0.749727213,-0.481156537,0.2320293041,0.0174126291,0.0172771834,0.0047761461,0.2796543217,0.4663463313,7.62763477324933,49.6855469950209,29.1717775881503,1.77926770920989,100,9.66649544309954,2.903363089369,100
0.6505098443,0.094875293,0.0346844977,0.4344199833,0.0820699378,-2.443830963,-0.464429183,0.1508695633,0.0120117288,0.0150166847,0.0048174338,0.2624166453,0.5351557671,6.18940059537785,100,46.0315247790949,2.5051676630194,100,7.47717065058213,40.210157545396,100
0.5349663236,0.1705192448,0.3336579535,0.8071946618,0.0205051741,-1.053048037,-0.465255079,0.1913081023,0.0141530317,0.013906866,0.0037060908,0.2164317586,0.57557088,9.22137815640355,40.9285947069649,8.44907778873127,2.2948844417457,49.8033261451911,7.69821003836764,2.39363102141069,48.2803408565125
0.9829303397,0.1759884969,0.0413095719,0.5476830288,0.0688125534,-2.77772392,-0.432739195,0.2578894733,0.0110608298,0.0272033962,0.0032736226,0.2589465581,0.5004159332,6.45906699015618,47.2360442212117,40.3941791257211,2.34865999022428,25.6711245471024,6.61108485901911,22.3129768694464,27.7064662813397
