phi_gains_1,phi_gains_2,phi_gains_3,chi_gains_1,chi_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,h_gains_1,h_gains_2,h_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
0.9099099099,0.2154154154,0.2197197197,1.0055055055,0.0282582583,-1.612612613,-0.223223223,0.6335335335,0.012972973,0.0038848849,0.0020520521,0.2004004004,0.5393393393,8.07666300464077,28.8433156936414,2.8767258399804,100,100,0,0.787579385915581,0.551473375326037
0.8606606607,0.0172172172,0.2377377377,1.1851851852,0.0311311311,-1.309309309,-0.446246246,0.6295295295,0.0193993994,0.0057267267,0.0025085085,0.2463463463,0.5130630631,7.21387935430108,26.8749922967413,3.11031984545604,42.0638022139893,43.4371598740396,0,0.898991247396854,1.1726516174451
0.6584584585,0.233033033,0.3894894895,1.3968968969,0.0563213213,-1.700700701,-0.206406406,0.4525525526,0.0171871872,0.0058028028,0.003045045,0.2957957958,0.5039039039,6.17443494893618,22.4433625778231,10.7873765356893,100,100,0,6.77561824306434,0.964974466582188
0.9043043043,0.1049049049,0.4279279279,1.017017017,0.0423423423,-1.326326326,-0.55955956,0.4861861862,0.015985986,0.0053863864,0.0032932933,0.2007007007,0.5677177177,7.57207819961075,25.1397557077205,5.04758033719179,21.3071573506255,22.9388503641254,0,1.05093009939979,1.39837137180991
0.7333333333,0.0656656657,0.2465465465,1.2282282282,0.0379279279,-1.329329329,-0.227627628,0.3816816817,0.0112812813,0.0038448448,0.0057277277,0.2661661662,0.5942942943,6.97303617873683,26.4201661893763,3.48575809228371,5.69560133489376,7.02698756135281,0.0109259947931983,1.0765862318513,0.401400112187771
0.6424424424,0.3271271271,0.4239239239,1.3368368368,0.0502952953,-1.518518519,-0.274074074,0.5638638639,0.012962963,0.0065075075,0.005019019,0.2903903904,0.5960960961,5.92138617222333,22.8632211304396,14.7748291705579,3.84870532407572,38.3479976976882,3.0387156593257,7.37694016208522,19.0015104590552
0.6528528529,0.1313313313,0.1064064064,1.0535535536,0.0442692693,-1.751751752,-0.222822823,0.6475475475,0.0158758759,0.0048538539,0.0035775776,0.2658658659,0.5921921922,7.24090665848791,24.4711222561187,2.90588152043219,100,100,0,0.80467511287656,0.540420423977763
0.8670670671,0.397997998,0.1744744745,1.3588588589,0.0361061061,-1.055055055,-0.390590591,0.3804804805,0.0152952953,0.0057027027,0.0037617618,0.2118118118,0.5858858859,5.96358796388943,25.0801126767592,3.61963566851329,5.10889856883852,7.03621483900213,0.539746169000765,6.4484336028305,1.99582396559676
0.618018018,0.2034034034,0.4931931932,1.2477477477,0.0398548549,-1.525525526,-0.359359359,0.4713713714,0.011981982,0.0033923924,0.004034034,0.2740740741,0.4635135135,6.35961707935007,27.3154651472961,9.47742506164,5.49125563677191,6.85427795671331,0.00792337992046033,3.00926744297839,0.892113004877728
0.837037037,0.3191191191,0.3434434434,1.45995996,0.0544294294,-1.981981982,-0.347747748,0.655955956,0.0118318318,0.0034004004,0.0053113113,0.270970971,0.5307807808,6.34729192648287,20.9959630913743,3.91898910729387,3.24691322602264,36.02454667437,3.23695875888426,6.13706476356062,27.7734672861914
0.7237237237,0.1005005005,0.1788788789,1.3358358358,0.0418868869,-1.063063063,-0.437437437,0.3036036036,0.0158358358,0.0063353353,0.0020880881,0.2427427427,0.4728228228,6.48794992850298,22.7399066603648,2.35710038603294,100,100,0,0.662843354460967,1.83971023378905
0.8794794795,0.0680680681,0.1396396396,1.1181181181,0.0550600601,-1.244244244,-0.433433433,0.4665665666,0.0141241241,0.0061311311,0.002028028,0.2597597598,0.4593093093,7.08918463041999,20.5654642499979,2.91381380321709,100,100,0,0.397889425986043,0.883730843577194
