chi_gains_1,chi_gains_2,phi_gains_1,phi_gains_2,phi_gains_3,h_gains_1,h_gains_2,h_gains_3,theta_gains_1,theta_gains_2,theta_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
182.71466357,293.08882868,29.310069767,0.9162573643,0.6976744186,0.3275581395,-0.271317829,0.3216852713,-1.068195349,-1.16807907,3.449612403,0.4288837209,0.7552891039,100,100,0,100,100,0,100,100
90.646297674,349.91180465,2.1141906977,3.4648496124,0.8914728682,0.5607426357,0.5968992248,0.7015263566,-26.17208372,-5.173755814,3.217054264,0.7864372093,0.8175668279,100,100,0,100,100,0,100,49.7005418146775
184.15323178,89.722388372,30.356065116,0.8156550388,1.2790697674,0.4502868217,0.8914728682,0.4943403101,-39.42135814,-7.144803101,3.100775194,0.0783410853,0.2337131651,0.034691238922842,100,30251.0513517661,100,100,0,100,100
142.43475349,269.16336512,25.126088372,2.0899511628,4.5348837209,0.7202899225,-0.84496124,0.6324643411,-25.8234186,-0.468675194,2.441860465,0.1204062016,0.8409209744,2.5704643459999,100,1932.69353908543,100,100,0,100,49.9268189364825
54.682092248,131.59194961,42.21067907,3.9343271318,3.7596899225,0.8062,-0.054263566,0.3700286822,-25.47475349,-0.786586047,2.364341085,0.4639379845,0.942122276,0.040266953656239,100,17558.6627287391,100,100,0,100,49.9361843134319
107.90911628,155.51741318,8.3901627907,2.0228829457,4.5736434109,0.6098341085,0.7984496124,0.418372093,-10.8308186,-6.063906202,4.186046512,0.0573085271,0.2025743031,0.017522134521485,48.7162073267346,217.962811190097,100,100,0,49.7635807873317,100
123.73336667,218.32175504,17.455455814,2.1905534884,1.0852713178,0.296875969,-0.906976744,0.204279845,-37.67803256,-1.422407752,4.573643411,0.036275969,0.5606712163,100,100,0,100,100,0,100,49.3258133484254
110.78625271,44.862144186,42.908009302,2.6935651163,0.503875969,0.7571085271,-0.503875969,0.5703085271,-16.75812558,-3.266290698,4.147286822,0.1133953488,0.5139629233,0.048427019245653,100,62914.932591685,100,100,0,100,100
130.92620775,53.834193023,19.547446512,0.3126434109,3.7984496124,0.4871054264,0.9689922481,0.4874341085,-38.02669767,-5.745995349,3.527131783,0.8916,0.6385183713,100,100,0,100,100,0,100,100
20.156455039,125.61058372,4.2061813953,0.9497914729,4.2635658915,0.0514186047,0.5813953488,0.2180922481,-0.370865116,-3.902112403,3.062015504,0.5270356589,0.6774419488,3.00343360526993,100,8956.54177149014,100,100,0,100,100
129.48763953,149.53604729,28.612739535,2.5929627907,1.5503875969,0.750972093,0.984496124,0.0316248062,-42.9080093,-3.075544186,4.341085271,0.4709488372,0.973261138,33.5042762943046,100,17175.1569622357,100,100,0,100,100
143.87332171,65.796924806,28.264074419,2.7270992248,1.8992248062,0.0636914729,0.7829457364,0.6808077519,-21.98810233,-2.757633333,0.542635659,0.8074697674,0.8487056899,7.79903090382179,100,28377.0114343029,100,100,0,100,100
