kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,Y
2.8397679536,1.7639527906,2.6675335067,0.2044408882,0.8515703141,
1.8459691938,0.6581316263,1.4948989798,0.6829365873,2.7683536707,
2.1178235647,1.1798359672,1.9947989598,1.9943988798,1.5207041408,
1.8471694339,1.9219843969,2.5217043409,0.8149629926,1.8333666733,
0.6049209842,0.9465893179,1.9575915183,1.8383676735,0.7213442689,
0.924184837,0.4652930586,1.5375075015,1.3602720544,2.9039807962,
1.3640728146,1.9659931986,1.9281856371,1.1378275655,0.099619924,
2.0584116823,0.1416283257,1.8807761552,1.8971794359,0.6295259052,
1.8615723145,1.774754951,2.5091018204,0.3900780156,2.775555111,
2.199439888,0.8365673135,1.5585117023,1.4594918984,2.8811762352,
2.900380076,0.6449289858,1.4288857772,0.5189037808,0.951190238,
1.6551310262,0.5725145029,0.9319863973,0.9013802761,2.9111822364,
2.3038607722,0.6141228246,1.8525705141,0.5065013003,0.0132026405,
0.6655331066,1.4994999,2.7797559512,1.8067613523,2.5043008602,
2.8019603921,1.4526905381,1.9221844369,0.2640528106,2.4622924585,
2.6843368674,1.7655531106,2.824764953,0.8085617123,0.7675535107,
2.9117823565,1.4102820564,0.7363472695,0.3296659332,2.7107421484,
2.6681336267,0.024804961,1.3214642929,1.1366273255,0.5683136627,
1.1642328466,0.0152030406,0.3792758552,0.024804961,1.4582916583,
1.8663732747,0.7417483497,0.5293058612,1.5783156631,2.5907181436,
2.1892378476,1.6711342268,2.2438487698,1.2366473295,2.6771354271,
0.8599719944,1.3278655731,0.951190238,1.3098619724,2.6627325465,
2.5127025405,1.4522904581,2.2612522505,0.6637327465,2.6945389078,
0.1548309662,1.7303460692,2.7641528306,0.6429285857,1.3532706541,
2.0986197239,0.9173834767,2.8187637528,0.600120024,1.2152430486,
0.1584316863,0.0148029606,1.1708341668,0.6649329866,2.873974795,
2.9225845169,0.1356271254,1.9359871974,1.6915383077,0.824564913,
2.6795359072,0.8933786757,2.524104821,0.4520904181,2.3782756551,
1.1402280456,1.8835767153,2.476095219,1.0862172434,0.0852170434,
0.8119623925,0.2020404081,2.9849969994,1.9447889578,1.4276855371,
1.6263252651,0.6089217844,1.7097419484,0.4392878576,0.2688537708,
1.700740148,1.4698939788,2.6795359072,0.4332866573,1.6341268254,
0.324064813,0.549709942,1.8033606721,0.8381676335,2.7455491098,
1.7205441088,0.149229846,0.8341668334,0.5537107421,2.5853170634,
0.9649929986,1.0478095619,2.0764152831,1.7735547109,0.3234646929,
0.0126025205,1.0778155631,2.8577715543,0.7865573115,2.3092618524,
1.9143828766,1.8267653531,1.3652730546,1.0410082016,1.9653930786,
2.6189237848,1.4342868574,1.3724744949,1.8715743149,2.6423284657,
0.5719143829,1.5811162232,2.7839567914,1.5339067814,0.1518303661,
0.5083016603,0.800160032,2.2948589718,0.5153030606,2.3374674935,
0.6187237447,1.8455691138,0.3870774155,1.9439887978,0.4734946989,
1.1954390878,0.150030006,2.1424284857,0.5797159432,1.2344468894,
2.625525105,0.6541308262,1.1936387277,0.4084816963,2.8433686737,
0.3558711742,0.6965393079,1.3556711342,0.9621924385,1.1420284057,
1.3652730546,0.5133026605,1.3520704141,0.2292458492,0.2514502901,
0.6955391078,1.2922584517,0.0048009602,0.1964392879,2.0452090418,
0.6109221844,0.9409881976,0.2814562913,1.475895179,0.5137027405,
1.526105221,0.7477495499,1.0946189238,1.4206841368,2.1100220044,
1.6587317463,0.8405681136,1.1396279256,1.4914982997,2.7389477896,
1.4918983797,1.951190238,0.5803160632,0.4820964193,0.3984796959,
2.8643728746,0.0124024805,2.5727145429,1.4170834167,0.0600120024,
1.4726945389,0.4732946589,1.8051610322,1.324664933,1.9719943989,
2.1076215243,1.5671134227,2.3872774555,0.5981196239,2.6531306261,
1.4126825365,0.9641928386,0.4428885777,0.6657331466,2.0794158832,
0.1350270054,1.4766953391,2.399879976,1.1546309262,2.8847769554,
0.7627525505,1.0814162833,1.8801760352,0.8881776355,2.5181036207,
1.0130026005,1.0774154831,0.9433886777,1.9823964793,0.974594919,
2.4016803361,0.7273454691,0.9175835167,1.0086017203,0.7153430686,
2.9147829566,0.6313262653,2.6039207842,1.9051810362,0.3294658932,
1.3394678936,1.6479295859,2.0650130026,1.6427285457,2.7869573915,
2.2714542909,0.5653130626,1.8483696739,0.9353870774,0.5161032206,
0.2328465693,0.3012602521,1.9227845569,1.6175235047,1.8177635527,
0.0774154831,1.124624925,1.1204240848,1.0314062813,1.9263852771,
0.4776955391,0.7209441888,2.6591318264,0.7785557111,2.4568913783,
2.125625125,1.0370074015,0.8779755951,1.0450090018,2.6915383077,
1.6017203441,1.9159831966,1.1408281656,1.7375475095,1.4660932186,
1.0430086017,0.0084016803,2.0812162432,1.5683136627,0.7123424685,
1.2116423285,0.5141028206,1.4072814563,0.8029605921,0.0384076815,
0.4806961392,1.7779555911,2.0704140828,0.2516503301,1.3040608122,
1.1360272054,0.8713742749,1.424684937,0.7477495499,2.4796959392,
1.1828365673,0.5541108222,2.8781756351,0.1812362472,1.4972994599,
0.9475895179,0.048809762,1.4324864973,0.324464893,1.2656531306,
1.3076615323,1.2066413283,1.2110422084,1.5279055811,2.299059812,
1.9881976395,0.4156831366,1.6419283857,1.199039808,0.973994799,
1.4564912983,0.6469293859,2.9951990398,1.74994999,2.5457091418,
2.7665533107,0.7177435487,2.1886377275,0.6317263453,2.2222444489,
0.2730546109,0.148829766,2.1286257251,0.7869573915,1.1288257652,
0.5893178636,0.350070014,0.9805961192,0.2892578516,2.2408481696,
0.5143028606,0.1376275255,1.8213642729,1.6415283057,0.1182236447,
1.4114822965,1.3122624525,0.6613322665,1.3298659732,0.0774154831,
2.4310862172,0.6841368274,2.8127625525,0.7941588318,2.5445089018,
0.3228645729,1.3350670134,1.6677335467,0.7833566713,1.3634726945,
1.5123024605,1.2838567714,0.8119623925,0.8293658732,0.0528105621,
0.049809962,1.9719943989,0.1596319264,1.2786557311,1.8867773555,
2.1154230846,1.700740148,0.3270654131,1.3734746949,2.5619123825,
2.2876575315,1.7607521504,1.7349469894,0.1696339268,2.4022804561,
1.1228245649,0.8117623525,2.2762552511,1.2314462893,0.6529305861,
2.8331666333,0.3780756151,2.9039807962,1.8703740748,2.5559111822,
2.2360472094,0.550910182,2.8277655531,0.5437087417,1.2824564913,
0.3960792158,0.1708341668,1.6851370274,1.5931186237,0.7093418684,
1.4960992198,1.1166233247,0.375675135,1.2930586117,2.3122624525,
0.4932986597,1.6763352671,0.3702740548,0.7617523505,2.9963992799,
0.2538507702,0.7821564313,0.174634927,1.1690338068,0.7621524305,
1.3310662132,1.2110422084,0.9799959992,0.6601320264,2.8589717944,
2.0098019604,1.9707941588,1.0400080016,1.4146829366,1.1906381276,
1.3784756951,0.8469693939,0.2286457291,1.1414282857,1.6551310262,
1.7871574315,0.8573714743,2.0110022004,0.8521704341,2.0884176835,
1.9197839568,1.4930986197,0.8221644329,1.4114822965,2.7941588318,
1.7649529906,1.050210042,0.6727345469,1.5539107822,0.4140828166,
1.025605121,0.0048009602,1.5465093019,1.3202640528,1.4654930986,
1.6137227445,1.2626525305,2.0578115623,1.7443488698,2.9639927986,
2.4802960592,1.0090018004,1.8843768754,0.650930186,0.4236847369,
0.5005001,1.4554910982,0.4452890578,1.7799559912,2.0062012402,
0.7573514703,0.5265053011,1.5411082216,0.6161232246,0.8683736747,
2.773754751,0.5181036207,1.1690338068,1.2146429286,2.9879975995,
2.0092018404,0.4228845769,1.548909782,1.5523104621,1.1768353671,
1.0598119624,0.6781356271,0.6343268654,1.5639127826,2.0056011202,
0.9319863973,1.9035807161,2.75095019,0.5813162633,1.3142628526,
2.2222444489,1.6199239848,2.7665533107,0.7469493899,0.0210042008,
1.300460092,0.7885577115,2.551110222,1.2578515703,0.9523904781,
2.4898979796,1.1318263653,1.5171034207,0.5297059412,2.7473494699,
0.7075415083,0.1784356871,1.6023204641,1.199839968,0.6205241048,
1.2200440088,0.1896379276,1.9605921184,1.6703340668,0.0840168034,
0.8275655131,1.199439888,2.9897979596,0.3068613723,1.2836567313,
2.5169033807,1.4894978996,0.3564712943,0.8353670734,1.3910782156,
2.1874374875,1.0614122825,0.3774754951,1.4658931786,0.0588117624,
1.7211442288,1.5939187838,1.1858371674,1.9379875975,0.0348069614,
1.424684937,0.7677535507,2.3962792559,1.7555511102,0.24964993,
0.175835167,1.7407481496,2.7161432286,1.9435887177,1.7667533507,
2.9771954391,0.299259852,1.50090018,1.3726745349,2.1730346069,
1.8021604321,1.3834766953,0.0036007201,0.574114823,1.0094018804,
1.6323264653,0.9873974795,0.2304460892,0.8209641928,0.3654730946,
2.3668733747,1.5979195839,0.9301860372,1.6399279856,0.2148429686,
2.9945989198,0.9861972394,1.0832166433,1.2446489298,0.0114022805,
0.3774754951,0.5325065013,0.5221044209,1.525905181,2.7089417884,
1.5549109822,0.1052210442,2.0284056811,0.2688537708,1.3652730546,
2.9663932787,1.5639127826,1.0574114823,0.8981796359,1.4696939388,
1.0382076415,0.6461292258,1.4924984997,1.7895579116,0.4074814963,
0.7135427085,0.5017003401,1.6377275455,0.0140028006,2.9825965193,
1.1558311662,0.5777155431,2.1970394079,1.2558511702,2.7425485097,
1.1330266053,0.4836967393,0.8461692338,1.425485097,2.7371474295,
0.8845769154,1.7727545509,0.0834166833,0.6845369074,2.5349069814,
0.1950390078,1.0222044409,2.126225245,1.799959992,2.4100820164,
0.9793958792,0.7917583517,0.0432086417,1.9631926385,1.9923984797,
0.6829365873,0.2512502501,2.2318463693,0.5657131426,0.4290858172,
2.6117223445,0.5365073015,2.6405281056,1.8839767954,1.8039607922,
0.4128825765,0.1652330466,1.9401880376,0.5929185837,1.1480296059,
1.9275855171,0.2188437688,2.4088817764,0.4700940188,0.274254851,
0.9919983997,0.5837167433,0.1158231646,1.4590918184,1.325665133,
2.8049609922,1.5947189438,1.6821364273,0.9913982797,0.6919383877,
1.4222844569,1.6779355871,1.6845369074,1.6339267854,0.4524904981,
0.6025205041,1.0922184437,1.4348869774,0.8573714743,1.5021004201,
0.450090018,0.9917983597,1.149229846,0.149229846,2.9525905181,
0.8353670734,1.9939987998,1.2164432887,0.3460692138,0.5557111422,
0.8221644329,1.9059811962,0.2706541308,0.9697939588,1.3604720944,
0.5569113823,1.5103020604,1.9929985997,1.8411682336,0.7969593919,
2.5289057812,0.6129225845,2.4544908982,0.1720344069,1.0814162833,
0.9961992398,1.3786757351,1.3088617724,0.8857771554,1.9395879176,
2.9897979596,1.3858771754,1.5633126625,0.4736947389,2.2594518904,
0.4872974595,1.6807361472,0.5047009402,1.824364873,2.3590718144,
